name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,player_id
Josh Jacobs,LVR,RB,25,13,13,0,0,0,233,805,6,54,37,296,0,3,1,,,144,181.1,JacoJo01
Jake Browning,CIN,QB,27,9,7,1936,12,7,27,127,3,1,1,-7,0,3,0,,1,143,144.4,BrowJa08
Zack Moss,IND,RB,26,14,8,0,0,0,183,794,5,37,27,192,2,0,0,1,,143,169.6,MossZa00
Devin Singletary,HOU,RB,26,17,10,6,1,0,216,898,4,38,30,193,0,1,0,,,137,167.3,SingDe00
Jonathan Taylor,IND,RB,24,10,7,0,0,0,169,741,7,23,19,153,1,1,0,,,137,156.4,TaylJo02
Jaylen Warren,PIT,RB,25,17,0,0,0,0,149,784,4,74,61,370,0,4,2,,,135,196.4,WarrJa01
Austin Ekeler,LAC,RB,28,14,14,0,0,0,179,628,5,74,51,436,1,5,4,,,134,185.4,EkelAu00
Javonte Williams,DEN,RB,23,16,13,0,0,0,217,774,3,58,47,228,2,1,1,2,,132,179.2,WillJa10
Zay Flowers,BAL,WR,23,16,16,0,0,0,8,56,1,108,77,858,5,0,0,1,,129,206.4,FlowZa00
Adam Thielen,CAR,WR,33,17,17,0,0,0,1,6,0,137,103,1014,4,2,0,1,,128,231.0,ThieAd00
Jaylen Waddle,MIA,WR,25,14,14,0,0,0,3,12,0,104,72,1014,4,0,0,,,127,198.6,WaddJa00
Chris Godwin,TAM,WR,27,17,17,0,0,0,4,38,1,130,83,1024,2,0,0,1,,126,209.2,GodwCh00
Aidan O'Connell,LVR,QB,25,11,10,2218,12,7,17,11,1,0,0,0,0,4,2,,,126,125.8,OConAi00
Ezekiel Elliott,NWE,RB,28,17,5,0,0,0,184,642,3,65,51,313,2,2,1,,,124,174.5,ElliEz00
Tyler Lockett,SEA,WR,31,17,17,0,0,0,0,0,0,122,79,894,5,0,0,2,,123,202.4,LockTy00
Tyler Allgeier,ATL,RB,23,17,3,0,0,0,186,683,4,23,18,193,1,0,0,1,,120,137.6,AllgTy00
Zach Wilson,NYJ,QB,24,12,11,2271,8,7,36,211,0,0,0,0,0,11,7,1,1,120,119.9,WilsZa00
Brandin Cooks,DAL,WR,30,16,15,0,0,0,5,35,0,81,54,657,8,1,0,1,,119,173.2,CookBr00
Tank Dell,HOU,WR,24,11,8,0,0,0,11,51,0,75,47,709,7,1,0,,,118,165.0,DellNa00
Garrett Wilson,NYJ,WR,23,17,17,0,0,0,4,0,0,168,95,1042,3,2,2,,,118,213.2,WilsGa00
Gabriel Davis,BUF,WR,24,17,17,0,0,0,1,-2,0,81,45,746,7,1,1,1,,116,161.4,DaviGa01
Romeo Doubs,GNB,WR,23,17,16,0,0,0,0,0,0,96,59,674,8,1,0,,,115,174.4,DoubRo00
Kenny Pickett,PIT,QB,25,12,12,2070,6,4,42,54,1,0,0,0,0,2,0,,,110,110.2,PickKe00
Rashid Shaheed*+,NOR,WR,25,15,8,0,0,0,7,37,0,75,46,719,5,1,1,,,110,155.6,ShahRa00
Rhamondre Stevenson,NWE,RB,25,12,12,0,0,0,156,619,4,51,38,238,0,1,1,,,108,145.7,StevRh00
Mac Jones,NWE,QB,25,11,11,2120,10,12,26,96,0,0,0,0,0,3,2,,,106,106.4,JoneMa05
Aaron Jones,GNB,RB,29,11,11,0,0,0,142,656,2,43,30,233,1,2,1,,,105,134.9,JoneAa00
Cooper Kupp,LAR,WR,30,12,12,0,0,0,1,-3,0,95,59,737,5,0,0,1,,105,164.4,KuppCo00
Drake London,ATL,WR,22,16,16,22,0,0,0,0,0,110,69,905,2,0,0,1,,105,174.4,LondDr00
Kareem Hunt,CLE,RB,28,15,2,0,0,0,135,411,9,21,15,84,0,0,0,,,104,118.5,HuntKa00
Alexander Mattison,MIN,RB,25,16,13,0,0,0,180,700,0,44,30,192,3,3,2,,,103,133.2,MattAl01
Diontae Johnson,PIT,WR,27,13,11,0,0,0,0,0,0,87,51,717,5,1,0,,,102,152.7,JohnDi01
Will Levis,TEN,QB,24,9,9,1808,8,4,25,57,1,0,0,0,0,7,4,,1,102,102.0,LeviWi00
Tyjae Spears,TEN,RB,22,17,1,0,0,0,100,453,2,70,52,385,1,1,0,,,102,153.8,SpeaTy00
Joe Flacco,CLE,QB,38,5,5,1616,13,8,9,2,0,0,0,0,0,4,1,,1,101,100.8,FlacJo00
Darius Slayton,NYG,WR,26,17,13,0,0,0,0,0,0,79,50,770,4,0,0,,,101,151.0,SlayDa01
AJ Dillon,GNB,RB,25,15,6,0,0,0,178,613,2,28,22,223,0,0,0,,,96,117.6,DillAJ00
Tee Higgins,CIN,WR,24,12,11,0,0,0,0,0,0,76,42,656,5,0,0,,,96,137.6,HiggTe00
Curtis Samuel,WAS,WR,27,16,13,0,0,0,7,39,1,91,62,613,4,0,0,,,95,157.2,SamuCu00
Tommy DeVito,NYG,QB,25,9,6,1101,8,3,36,195,1,0,0,0,0,2,1,,,94,93.5,DeViTo00
Khalil Herbert,CHI,RB,25,12,9,0,0,0,132,611,2,31,20,134,1,1,1,1,,93,112.5,HerbKh00
Christian Kirk,JAX,WR,27,12,12,-1,0,0,1,6,0,85,57,787,3,2,2,,,93,150.3,KirkCh01
Josh Downs,IND,WR,22,17,9,0,0,0,0,0,0,98,68,771,2,0,0,,,89,157.1,DownJo00
Josh Reynolds,DET,WR,28,17,13,0,0,0,0,0,0,64,40,608,5,1,1,,,89,128.8,ReynJo00
Jerry Jeudy,DEN,WR,24,16,11,0,0,0,0,0,0,87,54,758,2,1,0,,,88,141.8,JeudJe00
Jaxon Smith-Njigba,SEA,WR,21,17,3,0,0,0,0,0,0,93,63,628,4,0,0,,,87,149.8,SmitJa06
Tyrod Taylor,NYG,QB,34,11,5,1341,5,3,38,197,0,0,0,0,0,4,0,,,87,87.3,TaylTy00
Deshaun Watson,CLE,QB,28,6,6,1115,7,4,26,142,1,0,0,0,0,5,2,3,,87,86.8,WatsDe00
Marquise Brown,ARI,WR,26,14,14,0,0,0,2,23,0,101,51,574,4,0,0,,,84,134.7,BrowMa04
Kyle Pitts,ATL,TE,23,17,15,0,0,0,1,-4,0,90,53,667,3,0,0,,,84,137.3,PittKy00
DJ Chark,CAR,WR,27,15,11,0,0,0,0,0,0,66,35,525,5,2,1,,,81,115.5,CharDJ00
Justice Hill,BAL,RB,26,16,5,0,0,0,84,387,3,39,28,206,1,1,1,,,81,109.3,HillJu00
Dontayvion Wicks,GNB,WR,22,15,6,14,0,0,1,1,0,58,39,581,4,3,1,,,81,119.8,WickDo00
Ty Chandler,MIN,RB,25,17,4,0,0,0,102,461,3,25,21,159,0,0,0,,,80,101.0,ChanTy01
D'Onta Foreman,CHI,RB,27,9,8,0,0,0,109,425,4,16,11,77,1,1,0,,,80,91.2,ForeDO00
Ryan Tannehill,TEN,QB,35,10,8,1616,4,7,17,74,1,1,0,0,0,4,0,,,80,80.0,TannRy00
Antonio Gibson,WAS,RB,25,16,2,0,0,0,65,265,1,59,48,389,2,4,2,,,79,127.4,GibsAn00
Tyler Boyd,CIN,WR,29,17,13,0,0,1,2,11,0,98,67,667,2,0,0,,,78,144.8,BoydTy00
Hunter Henry,NWE,TE,29,14,10,0,0,0,0,0,0,61,42,419,6,1,0,,,78,119.9,HenrHu00
Dallas Goedert,PHI,TE,28,14,14,0,0,0,1,1,0,83,59,592,3,0,0,,,77,136.3,GoedDa00
Dalton Kincaid,BUF,TE,24,16,11,0,0,0,0,0,0,91,73,673,2,1,1,,,77,150.3,KincDa00
Michael Wilson,ARI,WR,23,13,12,0,0,0,0,0,0,58,38,565,3,0,0,1,,77,114.5,WilsMi02
Jahan Dotson,WAS,WR,23,17,16,0,0,0,0,0,0,83,49,518,4,0,0,,,76,124.8,DotsJa00
Rico Dowdle,DAL,RB,25,16,0,0,0,0,89,361,2,22,17,144,2,0,0,,,75,91.5,DowdRi01
Jaleel McLaughlin,DEN,RB,23,17,3,0,0,0,76,410,1,36,31,160,2,0,0,,,75,106.0,McLaJa00
Khalil Shakir,BUF,WR,23,17,10,0,0,0,1,10,0,45,39,611,2,1,0,,,74,113.1,ShakKh00
Jonnu Smith,ATL,TE,28,17,6,0,0,0,1,0,0,70,50,582,3,1,1,,,74,124.2,SmitJo01
Tutu Atwell,LAR,WR,24,16,14,0,0,0,5,31,0,67,39,483,3,0,0,1,1,73,112.4,AtweTu00
Odell Beckham Jr.,BAL,WR,31,14,6,0,0,0,0,0,0,64,35,565,3,1,1,,,73,107.5,BeckOd00
Zach Charbonnet,SEA,RB,22,16,2,0,0,0,108,462,1,40,33,209,0,0,0,,,73,106.1,CharZa00
Elijah Moore,CLE,WR,23,17,12,0,0,0,9,11,0,104,59,640,2,2,2,,,73,132.1,MoorEl00
Anthony Richardson,IND,QB,21,4,4,577,3,1,25,136,4,0,0,0,0,3,1,,2,73,72.7,RichAn03
Wan'Dale Robinson,NYG,WR,22,15,8,0,0,0,9,87,1,78,60,525,1,0,0,,,73,133.2,RobiWa01
Christian Watson,GNB,WR,24,9,9,0,0,0,4,11,0,53,28,422,5,0,0,,,73,101.3,WatsCh00
K.J. Osborn,MIN,WR,26,16,12,0,0,0,0,0,0,75,48,540,3,1,0,,,72,120.0,OsboKJ00
Logan Thomas,WAS,TE,32,16,15,0,0,0,1,2,0,78,55,496,4,2,2,1,,72,126.8,ThomLo00
Isaiah Likely,BAL,TE,23,17,8,0,0,0,0,0,0,40,30,411,5,0,0,,,71,101.1,LikeIs00
Samaje Perine,DEN,RB,28,17,1,0,0,0,53,238,1,56,50,455,0,3,2,,,71,121.3,PeriSa00
