player_name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,position_rank,overall_rank,player_id
Isiah Pacheco,KAN,RB,23,14,13,0,0,0,205,935,7,49,44,244,2,1,1,0,0,1700,2139,17,61,PachIs00
Michael Pittman Jr.,IND,WR,26,16,15,0,0,0,0,0,0,156,109,1152,4,2,1,2,0,1410,2502,25,62,PittMi01
Tony Pollard,DAL,RB,26,17,17,0,0,0,252,1005,6,67,55,311,0,3,1,1,0,1680,2226,18,63,PollTo00
Jerome Ford,CLE,RB,24,17,12,0,0,0,204,813,4,63,44,319,5,1,1,1,0,1670,2112,19,64,FordJe00
Najee Harris,PIT,RB,25,17,17,0,0,0,255,1035,8,38,29,170,0,2,1,0,0,1670,1955,20,65,HarrNa00
Tua Tagovailoa,MIA,QB,25,17,17,4624,29,14,35,74,0,0,0,0,0,13,5,0,0,2700,2704,11,66,TagoTu00
Dalton Schultz,HOU,TE,27,15,8,0,0,0,0,0,0,88,59,635,5,1,1,0,0,920,1505,11,67,SchuDa00
Mark Andrews,BAL,TE,28,10,9,0,0,0,1,0,0,61,45,544,6,1,0,0,0,900,1354,12,68,AndrMa00
De'Von Achane,MIA,RB,22,11,4,0,0,0,103,800,8,37,27,197,3,1,1,0,0,1640,1907,21,69,AchaDe00
Justin Jefferson,MIN,WR,24,10,9,0,0,0,1,-12,0,100,68,1074,5,1,1,0,0,1340,2022,26,70,JeffJu00
Brian Robinson Jr.,WAS,RB,24,15,15,0,0,0,178,733,5,43,36,368,4,4,2,1,0,1620,1981,22,71,RobiBr01
Rashee Rice,KAN,WR,23,16,8,0,0,0,1,-3,0,102,79,938,7,2,1,0,0,1340,2125,27,72,RiceRa01
D'Andre Swift,PHI,RB,24,16,15,0,0,0,229,1049,5,49,39,214,1,3,1,0,0,1600,1993,23,73,SwifDA00
Courtland Sutton,DEN,WR,28,16,14,0,0,0,0,0,0,90,59,772,10,3,3,0,0,1310,1902,28,74,SuttCo00
Terry McLaurin,WAS,WR,28,17,17,0,0,0,0,0,0,132,79,1002,4,0,0,0,0,1300,2092,29,75,McLaTe00
Trevor Lawrence,JAX,QB,24,16,16,4016,21,14,70,339,4,0,0,0,0,12,7,0,1,2630,2625,12,76,LawrTr00
Sam Howell,WAS,QB,23,17,17,3946,21,21,48,263,5,1,1,4,0,4,2,1,1,2570,2575,14,77,HoweSa00
Russell Wilson,DEN,QB,35,15,15,3070,26,8,80,341,3,0,0,0,0,10,5,0,2,2570,2569,13,78,WilsRu00
Matthew Stafford,LAR,QB,35,15,15,3965,24,11,21,65,0,0,0,0,0,0,0,1,1,2430,2431,15,0,StafMa00
Derek Carr,NOR,QB,32,17,17,3878,25,8,32,40,0,0,0,0,0,7,3,0,2,2410,2411,16,0,CarrDe02
Justin Herbert,LAC,QB,25,13,13,3134,20,7,52,228,3,1,1,10,0,4,1,0,1,2330,2342,17,0,HerbJu00
Justin Fields,CHI,QB,24,13,13,2562,16,9,124,657,4,0,0,0,0,10,4,0,0,2300,2302,18,0,FielJu00
Geno Smith,SEA,QB,33,15,15,3624,20,9,37,155,1,1,1,-2,0,5,3,0,2,2260,2273,19,0,SmitGe00
Joshua Dobbs,2TM,QB,28,13,12,2464,13,10,77,421,6,0,0,0,0,14,7,2,1,2010,2007,20,0,DobbJo00
Gardner Minshew II,IND,QB,27,17,13,3305,15,9,34,100,3,0,0,0,0,8,5,0,2,1960,1962,21,0,MinsGa00
Desmond Ridder,ATL,QB,24,15,13,2836,12,12,53,193,5,1,1,-6,0,12,7,0,2,1760,1771,22,0,RiddDe00
Alvin Kamara,NOR,RB,28,13,12,0,0,0,180,694,5,86,75,466,1,0,0,3,0,1580,2330,24,0,KamaAl00
