player_name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,position_rank,overall_rank,player_id
Jerick McKinnon,KAN,RB,31,12,0,4,1,0,21,60,1,32,25,192,4,0,0,0,0,590,844,56,0,McKiJe00
Chigoziem Okonkwo,TEN,TE,24,17,11,0,0,0,2,6,0,77,54,528,1,0,0,0,0,590,1134,26,0,OkonCh00
Zamir White,LVR,RB,24,17,4,0,0,0,104,451,1,19,15,98,0,1,1,0,0,590,739,57,0,WhitZa01
Demario Douglas,NWE,WR,23,14,7,0,0,0,8,41,0,79,49,561,0,3,1,0,0,580,1072,74,0,DougDe00
Daniel Jones,NYG,QB,26,6,6,909,2,6,40,206,1,0,0,0,0,4,1,0,0,570,570,44,0,JoneDa05
Trey Palmer,TAM,WR,22,17,8,0,0,0,3,22,0,68,39,385,3,3,1,0,0,570,957,76,0,PalmTr00
Nick Westbrook-Ikhine,TEN,WR,26,14,9,0,0,0,0,0,0,45,28,370,3,0,0,1,0,570,850,75,0,WestNi00
Quentin Johnston,LAC,WR,22,17,10,0,0,0,3,9,0,67,38,431,2,0,0,0,0,560,940,78,0,JohnQu02
Jameson Williams,DET,WR,22,12,10,0,0,0,3,29,1,42,24,354,2,1,0,0,0,560,803,77,0,WillJa11
Michael Gallup,DAL,WR,27,17,13,0,0,0,0,0,0,57,34,418,2,0,0,0,0,540,878,80,0,GallMi00
Brandon Johnson,DEN,WR,25,13,2,0,0,0,0,0,0,30,19,284,4,0,0,1,0,540,734,79,0,JohnBr23
Joshua Kelley,LAC,RB,26,17,3,0,0,0,107,405,2,12,8,32,0,1,1,0,0,540,617,58,0,KellJo01
Tyson Bagent,CHI,QB,23,5,4,859,3,6,23,109,2,0,0,0,0,3,2,0,0,530,533,45,0,BageTy00
Clyde Edwards-Helaire,KAN,RB,24,15,3,0,0,0,70,223,1,22,17,188,1,0,0,0,0,530,701,59,0,EdwaCl00
Donald Parham,LAC,TE,26,14,8,0,0,0,0,0,0,41,27,285,4,0,0,0,0,530,795,27,0,ParhDo00
Tre Tucker,LVR,WR,22,16,1,0,0,0,10,77,0,34,19,331,2,0,0,0,0,530,718,81,0,TuckTr00
Emari Demercado,ARI,RB,24,14,2,0,0,0,58,284,2,30,21,119,0,0,0,0,0,520,733,60,0,DemeEm00
Michael Thomas,NOR,WR,30,10,7,0,0,0,0,0,0,64,39,448,1,0,0,0,0,510,898,82,0,ThomMi05
Marvin Mims,DEN,WR,21,16,7,0,0,0,9,30,0,33,22,377,1,2,2,0,0,490,707,84,0,MimsMa00
A.T. Perry,NOR,WR,24,10,3,0,0,0,0,0,0,18,12,246,4,0,0,0,0,490,606,85,0,PerrAT00
Mitchell Trubisky,PIT,QB,29,5,2,632,4,5,16,54,2,0,0,0,0,1,1,0,1,490,487,46,0,TrubMi00
Robert Woods,HOU,WR,31,14,11,0,0,0,1,7,0,75,40,426,1,0,0,0,0,490,893,83,0,WoodRo02
Tucker Kraft,GNB,TE,23,17,8,0,0,0,0,0,0,40,31,355,2,0,0,0,0,480,785,28,0,KrafTu00
Darnell Mooney,CHI,WR,26,15,14,0,0,0,2,5,0,61,31,414,1,0,0,0,0,480,789,86,0,MoonDa00
KaVontae Turpin,DAL,WR,27,16,0,0,0,0,11,110,1,18,12,127,3,1,0,0,0,480,597,87,0,TurpKa00
Cedrick Wilson Jr.,MIA,WR,28,15,3,0,0,0,0,0,0,38,22,296,3,0,0,0,0,480,696,88,0,WilsCe01
Chris Moore,TEN,WR,30,17,5,0,0,0,2,39,0,35,22,424,0,1,0,0,0,460,683,89,0,MoorCh00
Rashod Bateman,BAL,WR,24,16,12,0,0,0,1,18,0,56,32,367,1,0,0,0,0,450,765,90,0,BateRa00
Royce Freeman,LAR,RB,27,14,0,0,0,0,77,319,2,2,1,13,0,0,0,0,0,450,462,61,0,FreeRo00
Pat Freiermuth,PIT,TE,25,12,9,0,0,0,0,0,0,47,32,308,2,0,0,1,0,450,768,29,0,FreiPa00
Zay Jones,JAX,WR,28,9,7,0,0,0,0,0,0,64,34,321,2,0,0,0,0,440,781,91,0,JoneZa00
Michael Mayer,LVR,TE,22,14,12,0,0,0,0,0,0,40,27,304,2,0,0,1,0,440,714,30,0,MayeMi00
Kylen Granson,IND,TE,25,15,7,0,0,0,1,2,0,50,30,368,1,0,0,0,0,430,730,31,0,GranKy00
Noah Gray,KAN,TE,24,17,10,0,0,0,1,1,0,41,28,305,2,0,0,0,0,430,706,32,0,GrayNo00
Jamaal Williams,NOR,RB,28,13,4,0,0,0,106,306,1,20,18,62,0,1,0,0,0,430,608,62,0,WillJa06
Jordan Mason,SFO,RB,24,17,0,0,0,0,40,206,3,4,3,31,0,0,0,0,0,420,447,63,0,MasoJo00
Jonathan Mingo,CAR,WR,22,15,14,0,0,0,0,0,0,85,43,418,0,1,0,0,0,420,848,92,0,MingJo00
Elijah Mitchell,SFO,RB,25,11,1,0,0,0,75,281,2,8,6,14,0,0,0,0,0,420,475,64,0,MitcEl00
Greg Dortch,ARI,WR,25,16,4,0,0,0,1,5,0,41,24,280,2,0,0,0,0,410,645,93,0,DortGr01
Noah Fant,SEA,TE,26,17,17,0,0,0,0,0,0,43,32,414,0,0,0,0,0,410,734,33,0,FantNo00
Tanner Hudson,CIN,TE,29,12,1,0,0,0,0,0,0,50,39,352,1,0,0,0,0,410,802,34,0,HudsTa00
Luke Musgrave,GNB,TE,23,11,9,0,0,0,0,0,0,46,34,352,1,0,0,0,0,410,752,35,0,MusgLu00
Chase Brown,CIN,RB,23,12,0,0,0,0,44,179,0,15,14,156,1,1,0,0,0,400,535,65,0,BrowCh10
Mason Rudolph,PIT,QB,28,4,3,719,3,0,10,8,0,0,0,0,0,3,1,0,0,400,396,47,0,RudoMa00
Isaiah Hodgins,NYG,WR,25,17,9,0,0,0,0,0,0,33,21,230,3,1,1,0,0,390,600,95,0,HodgIs00
DeVante Parker,NWE,WR,30,13,13,0,0,0,0,0,0,55,33,394,0,0,0,0,0,390,724,94,0,ParkDe01
Jake Bobo,SEA,WR,25,17,0,0,0,0,1,3,1,25,19,196,2,0,0,0,0,380,569,97,0,BoboJa00
Xavier Gipson,NYJ,WR,22,17,3,0,0,0,8,68,1,38,21,229,0,5,2,0,0,380,587,98,0,GipsXa00
Trenton Irwin,CIN,WR,28,16,5,0,0,0,0,0,0,32,25,316,1,2,0,0,0,380,626,99,0,IrwiTr00
Brandon Powell,MIN,WR,28,17,2,0,0,0,5,17,0,44,29,324,1,1,1,0,0,380,671,96,0,PoweBr00
Pierre Strong,CLE,RB,25,17,1,0,0,0,63,291,1,8,5,47,0,1,1,0,0,380,428,66,0,StroPi00
Adam Trautman,DEN,TE,26,17,12,0,0,0,0,0,0,35,22,204,3,0,0,0,0,380,604,36,0,TrauAd00
Jalin Hyatt,NYG,WR,22,17,7,0,0,0,0,0,0,40,23,373,0,1,0,0,0,370,603,100,0,HyatJa00
Allen Lazard,NYJ,WR,28,14,12,0,0,0,0,0,0,49,23,311,1,0,0,0,0,370,601,101,0,LazaAl00
Colby Parkinson,SEA,TE,24,17,1,0,0,0,0,0,0,34,25,247,2,0,0,0,0,370,617,38,0,ParkCo02
Durham Smythe,MIA,TE,28,16,14,0,0,0,0,0,0,43,35,366,0,0,0,0,0,370,716,39,0,SmytDu00
Jalen Tolbert,DAL,WR,24,17,6,0,0,0,0,0,0,36,22,268,2,1,1,0,0,370,588,102,0,TolbJa00
Tommy Tremble,CAR,TE,23,16,8,0,0,0,0,0,0,32,23,194,3,0,0,0,0,370,604,37,0,TremTo00
Cam Akers,2TM,RB,24,7,1,0,0,0,60,167,2,12,11,70,0,0,0,0,0,360,467,68,0,AkerCa00
Mo Alie-Cox,IND,TE,30,17,7,0,0,0,0,0,0,22,13,161,3,0,0,1,0,360,491,41,0,AlieMo00
Calvin Austin,PIT,WR,24,17,1,0,0,0,11,57,1,30,17,180,1,2,0,0,0,360,527,103,0,AustCa00
Mike Gesicki,NWE,TE,28,17,10,0,0,0,0,0,0,45,29,244,2,0,0,0,0,360,654,40,0,GesiMi00
Andrei Iosivas,CIN,WR,24,16,1,0,0,0,0,0,0,25,15,116,4,0,0,0,0,360,506,104,0,IosiAn00
Chris Rodriguez,WAS,RB,23,13,0,0,0,0,51,247,2,2,2,12,0,1,1,0,0,360,379,67,0,RodrCh00
Marquez Valdes-Scantling,KAN,WR,29,16,10,0,0,0,0,0,0,42,21,315,1,1,1,0,0,360,565,105,0,ValdMa00
David Bell,CLE,WR,23,15,3,0,0,0,0,0,0,23,14,167,3,0,0,0,0,350,487,106,0,BellDa02
Michael Carter,2TM,RB,24,15,0,0,0,0,30,187,0,31,24,101,1,0,0,0,0,350,588,69,0,CartMi03
Darrell Henderson,LAR,RB,26,4,4,0,0,0,46,112,2,14,10,103,0,0,0,0,0,340,435,70,0,HendDa00
Lil'Jordan Humphrey,DEN,WR,25,17,8,0,0,0,0,0,0,19,13,162,3,0,0,0,0,340,472,107,0,HumpLi01
Brevin Jordan,HOU,TE,23,14,6,0,0,0,0,0,0,21,17,219,2,0,0,0,0,340,509,42,0,JordBr00
Jauan Jennings,SFO,WR,26,13,2,0,0,0,0,0,0,33,19,265,1,0,0,0,0,330,515,109,0,JennJa00
Dawson Knox,BUF,TE,27,12,11,0,0,0,0,0,0,36,22,186,2,0,0,1,0,330,546,43,0,KnoxDa00
Kendre Miller,NOR,RB,21,8,0,0,0,0,41,156,1,11,10,117,0,0,0,0,0,330,433,71,0,MillKe01
Skyy Moore,KAN,WR,23,14,8,0,0,0,3,23,0,38,21,244,1,0,0,0,0,330,537,108,0,MoorSk01
JuJu Smith-Schuster,NWE,WR,27,11,7,0,0,0,0,0,0,47,29,260,1,0,0,0,0,320,610,110,0,SmitJu00
Braxton Berrios,MIA,WR,28,16,1,0,0,0,1,11,0,33,27,238,1,1,0,0,0,310,579,112,0,BerrBr00
Josh Oliver,MIN,TE,26,17,14,0,0,0,0,0,0,28,22,213,2,1,1,0,0,310,533,44,0,OlivJo00
Mike Williams,LAC,WR,29,3,3,0,0,0,1,3,0,26,19,249,1,0,0,0,0,310,502,111,0,WillMi07
Matt Breida,NYG,RB,28,17,4,0,0,0,55,151,1,21,17,88,0,1,0,0,0,300,469,72,0,BreiMa00
Bo Melton,GNB,WR,24,5,1,0,0,0,3,21,0,24,16,218,1,0,0,0,0,300,459,113,0,MeltBo00
Alex Erickson,LAC,WR,31,8,3,0,0,0,0,0,0,29,16,232,1,0,0,0,0,290,452,114,0,EricAl01
Drew Lock,SEA,QB,27,4,2,543,3,3,5,14,0,0,0,0,0,0,0,0,0,290,291,48,0,LockDr00
Andrew Beck,HOU,FB,27,15,12,0,0,0,5,3,1,13,11,55,2,1,1,0,0,280,388,74,0,BeckAn01
Jimmy Graham,NOR,TE,37,13,2,0,0,0,0,0,0,7,6,39,4,0,0,0,0,280,339,46,0,GrahJi00
Scott Miller,ATL,WR,26,17,0,0,0,0,0,0,0,16,11,161,2,0,0,0,0,280,391,116,0,MillSc01
Cordarrelle Patterson,ATL,RB,32,14,0,0,0,0,50,181,0,12,9,38,1,1,0,0,0,280,369,73,0,PattCo00
Allen Robinson,PIT,WR,30,17,17,0,0,0,0,0,0,49,34,280,0,0,0,0,0,280,620,117,0,RobiAl02
Drew Sample,CIN,TE,27,17,10,0,0,0,0,0,0,27,22,163,2,0,0,0,0,280,503,45,0,SampDr00
Olamide Zaccheaus,PHI,WR,26,17,1,0,0,0,0,0,0,20,10,164,2,0,0,0,0,280,384,115,0,ZaccOl01
Salvon Ahmed,MIA,RB,25,8,0,0,0,0,22,61,1,23,16,88,1,0,0,0,0,270,429,76,0,AhmeSa01
Andrew Ogletree,IND,TE,25,12,9,0,0,0,0,0,0,21,9,147,2,0,0,0,0,270,357,47,0,OgleAn00
Trevor Siemian,NYJ,QB,32,5,3,724,2,4,11,40,0,0,0,0,0,5,3,0,0,270,270,49,0,SiemTr00
Jarrett Stidham,DEN,QB,27,3,2,496,2,1,9,8,0,0,0,0,0,1,0,0,0,270,266,50,0,StidJa00
Jeff Wilson,MIA,RB,28,10,0,0,0,0,41,188,0,17,14,85,0,0,0,0,0,270,413,75,0,WilsJe01
Jamal Agnew,JAX,WR,28,11,1,0,0,0,4,-2,0,21,14,225,1,1,1,0,0,260,403,118,0,AgneJa00
Daniel Bellinger,NYG,TE,23,17,13,0,0,0,0,0,0,28,25,255,0,0,0,0,0,260,505,48,0,BellDa00
Chase Edmonds,TAM,RB,27,13,0,0,0,0,49,176,0,17,14,81,0,0,0,0,0,260,397,77,0,EdmoCh00
Tyler Huntley,BAL,QB,25,5,1,203,3,0,15,55,0,0,0,0,0,0,0,0,0,260,256,52,0,HuntTy01
Kadarius Toney,KAN,WR,24,13,2,0,0,0,11,31,0,38,27,169,1,1,0,0,0,260,530,119,0,ToneKa00
Carson Wentz,LAR,QB,31,2,1,163,2,1,17,56,1,0,0,0,0,0,0,0,1,260,261,51,0,WentCa00
Ronnie Bell,SFO,WR,23,17,0,0,0,0,0,0,0,13,6,68,3,1,0,0,0,250,308,123,0,BellRo01
Pharaoh Brown,NWE,TE,29,17,11,0,0,0,0,0,0,15,13,208,1,1,1,0,0,250,378,51,0,BrowPh01
Harrison Bryant,CLE,TE,25,17,9,0,0,0,5,8,0,20,13,81,3,1,1,0,0,250,379,50,0,BryaHa00
Dalvin Cook,2TM,RB,28,15,1,0,0,0,67,214,0,20,15,78,0,2,2,0,0,250,402,79,0,CookDa01
Zach Ertz,ARI,TE,33,7,7,0,0,0,0,0,0,43,27,187,1,0,0,0,0,250,517,52,0,ErtzZa00
Deonte Harty,BUF,WR,26,16,1,0,0,0,4,0,0,21,15,150,1,2,1,0,0,250,400,122,0,HarrDe07
Mack Hollins,ATL,WR,30,13,3,0,0,0,0,0,0,30,18,251,0,0,0,0,0,250,431,121,0,HollMa00
D'Ernest Johnson,JAX,RB,27,17,0,0,0,0,41,108,0,12,10,140,0,0,0,0,0,250,348,81,0,JohnDE04
Ty Johnson,BUF,RB,26,10,0,0,0,0,30,132,0,7,7,62,1,1,0,0,0,250,324,78,0,JohnTy02
Julio Jones,PHI,WR,34,11,4,0,0,0,0,0,0,19,11,74,3,0,0,0,0,250,364,120,0,JoneJu02
Tony Jones,2TM,RB,26,7,1,0,0,0,26,95,2,10,7,37,0,0,0,0,0,250,322,80,0,JoneTo04
Kyle Juszczyk,SFO,FB,32,17,16,0,0,0,5,6,0,17,14,119,2,0,0,0,0,250,385,83,0,JuszKy00
Foster Moreau,NOR,TE,26,15,10,0,0,0,0,0,0,25,21,193,1,0,0,0,0,250,463,49,0,MoreFo00
Craig Reynolds,DET,RB,27,17,0,0,0,0,41,179,1,5,5,47,0,2,2,0,0,250,296,82,0,ReynCr00
Ihmir Smith-Marsette,CAR,WR,24,17,0,0,0,0,8,74,1,10,8,51,0,2,0,0,0,250,325,124,0,SmitIh00
Treylon Burks,TEN,WR,23,11,9,0,0,0,5,18,0,30,16,221,0,0,0,0,0,240,399,125,0,BurkTr00
Andy Dalton,CAR,QB,36,3,1,361,2,0,3,12,0,0,0,0,0,0,0,0,0,240,236,53,0,DaltAn00
Hayden Hurst,CAR,TE,30,9,8,0,0,0,0,0,0,32,18,184,1,0,0,0,0,240,424,53,0,HursHa00
Hunter Renfrow,LVR,WR,28,17,3,0,0,0,0,0,0,37,25,255,0,1,1,0,0,240,485,126,0,RenfHu00
Jacoby Brissett,WAS,QB,31,3,0,224,3,0,3,19,0,0,0,0,0,0,0,0,0,230,229,55,0,BrisJa00
Dyami Brown,WAS,WR,24,17,1,4,0,0,1,0,0,23,12,168,1,0,0,0,0,230,350,130,0,BrowDy00
Sam Darnold,SFO,QB,26,10,1,297,2,1,21,15,1,0,0,0,0,3,1,0,0,230,234,54,0,DarnSa00
Will Dissly,SEA,TE,27,16,14,0,0,0,0,0,0,22,17,172,1,0,0,0,0,230,402,55,0,DissWi00
Darrynton Evans,2TM,RB,25,7,0,0,0,0,32,121,1,12,7,49,0,0,0,0,0,230,300,84,0,EvanDa02
KhaDarel Hodge,ATL,WR,28,17,4,0,0,0,1,0,0,23,14,232,0,1,0,0,0,230,372,127,0,HodgKh00
Austin Hooper,LVR,TE,29,17,9,0,0,0,0,0,0,31,25,234,0,0,0,0,0,230,484,54,0,HoopAu00
Johnny Mundt,MIN,TE,29,17,0,0,0,0,0,0,0,23,17,172,1,0,0,0,0,230,402,56,0,MundJo00
Cedric Tillman,CLE,WR,23,14,3,0,0,0,1,8,0,44,21,224,0,0,0,0,0,230,442,128,0,TillCe01
Parker Washington,JAX,WR,21,9,1,0,0,0,0,0,0,21,16,132,2,2,1,0,0,230,392,129,0,WashPa01
Ameer Abdullah,LVR,RB,30,17,0,0,0,0,15,89,0,24,19,131,0,0,0,0,0,220,410,85,0,AbduAm00
Tank Bigsby,JAX,RB,22,17,0,0,0,0,50,132,2,4,1,6,0,2,2,0,0,220,228,86,0,BigsTa00
Elijah Higgins,ARI,TE,23,11,2,0,0,0,0,0,0,19,14,163,1,0,0,0,0,220,363,57,0,HiggEl00
Jalen Reagor,NWE,WR,24,11,1,0,0,0,1,17,0,23,7,138,0,0,0,0,0,220,285,131,0,ReagJa00
Stone Smartt,LAC,TE,25,16,3,0,0,0,0,0,0,21,11,155,1,0,0,0,0,220,325,58,0,SmarSt00
Dorian Thompson-Robinson,CLE,QB,24,8,3,440,1,4,14,65,0,0,0,0,0,2,0,1,0,220,221,56,0,ThomDo02
C.J. Beathard,JAX,QB,30,7,1,349,1,0,8,35,0,0,0,0,0,1,0,0,0,210,215,57,0,BeatC.00
Derius Davis,LAC,WR,23,17,2,0,0,0,14,101,0,17,15,66,0,3,1,0,0,210,357,133,0,DaviDe02
Van Jefferson,2TM,WR,27,17,9,0,0,0,1,4,0,43,20,209,0,0,0,0,0,210,413,132,0,JeffVa00
Will Mallory,IND,TE,24,12,2,0,0,0,0,0,0,26,18,207,0,1,0,0,0,210,387,59,0,MallWi00
Jamison Crowder,WAS,WR,30,17,0,0,0,0,0,0,0,20,16,159,1,2,1,0,0,200,359,135,0,CrowJa00
P.J. Walker,CLE,QB,28,6,2,674,1,5,13,30,0,0,0,0,0,4,2,0,0,200,200,58,0,WalkPh00
Quez Watkins,PHI,WR,25,9,5,0,0,0,0,0,0,21,15,142,1,0,0,0,0,200,352,134,0,WatkQu00
Robbie Chosen,MIA,WR,30,9,0,0,0,0,0,0,0,6,4,126,1,0,0,0,0,190,226,137,0,AndeRo04
Nick Chubb,CLE,RB,28,2,2,0,0,0,28,170,0,4,4,21,0,0,0,0,0,190,231,87,0,ChubNi00
Malik Heath,GNB,WR,23,13,1,0,0,0,0,0,0,24,15,125,1,0,0,0,0,190,335,138,0,HeatMa00
Luke Schoonmaker,DAL,TE,25,17,0,0,0,0,0,0,0,15,8,65,2,0,0,0,0,190,265,60,0,SchoLu00
Tyler Scott,CHI,WR,22,17,4,0,0,0,7,41,0,32,17,168,0,1,1,0,0,190,359,136,0,ScotTy00
Patrick Taylor,GNB,RB,25,11,0,0,0,0,32,141,0,17,11,49,0,0,0,0,0,190,300,88,0,TaylPa01
River Cracraft,MIA,WR,29,10,1,0,0,0,0,0,0,12,9,121,1,0,0,0,0,180,271,139,0,CracRi00
Kevin Harris,NWE,RB,23,4,0,0,0,0,16,65,1,3,3,58,0,0,0,0,0,180,213,89,0,HarrKe01
Davis Mills,HOU,QB,25,6,0,173,2,0,2,9,0,0,0,0,0,0,0,0,1,180,178,59,0,MillDa02
Deven Thompkins,TAM,WR,24,17,1,0,0,0,8,56,0,25,17,83,1,3,1,0,0,180,349,140,0,ThomDe07
Melvin Gordon,BAL,RB,30,4,0,0,0,0,26,81,1,3,3,46,0,1,1,0,0,170,197,92,0,GordMe00
Damien Harris,BUF,RB,26,6,0,0,0,0,23,94,1,2,2,16,0,0,0,0,0,170,190,91,0,HarrDa06
Connor Heyward,PIT,TE,24,17,7,0,0,0,1,0,0,34,23,167,0,0,0,0,0,170,397,62,0,HeywCo00
Ray-Ray McCloud,SFO,WR,27,12,1,0,0,0,3,30,0,15,12,135,0,1,0,0,0,170,285,141,0,McClRa00
MyCole Pruitt,ATL,TE,31,17,8,0,0,0,0,0,0,12,9,110,1,1,0,0,0,170,260,61,0,PruiMy00
Trey Sermon,IND,RB,24,14,0,0,0,0,35,160,0,6,3,13,0,0,0,0,0,170,203,90,0,SermTr00
Davis Allen,LAR,TE,22,15,1,0,0,0,0,0,0,11,10,95,1,0,0,0,0,160,255,63,0,AlleDa02
Luke Farrell,JAX,TE,26,17,8,0,0,0,0,0,0,15,13,155,0,0,0,0,0,160,285,64,0,FarrLu00
Lucas Krull,DEN,TE,25,7,2,0,0,0,0,0,0,14,8,95,1,0,0,0,0,160,235,65,0,KrulLu00
John Metchie,HOU,WR,23,16,0,0,0,0,1,4,0,30,16,158,0,0,0,0,0,160,322,142,0,MetcJo00
Donovan Peoples-Jones,2TM,WR,24,15,6,0,0,0,0,0,0,25,13,155,0,1,0,0,0,160,285,144,0,PeopDo00
Kyle Philips,TEN,WR,24,9,0,0,0,0,0,0,0,22,15,181,0,1,1,0,0,160,311,143,0,PhilKy01
Irv Smith Jr.,CIN,TE,25,12,6,0,0,0,0,0,0,26,18,115,1,1,1,0,0,160,335,66,0,SmitIr01
John Bates,WAS,TE,26,17,4,0,0,0,0,0,0,28,19,151,0,0,0,0,0,150,341,68,0,BateJo00
Jalen Guyton,LAC,WR,26,8,3,0,0,0,0,0,0,21,10,89,1,0,0,0,0,150,249,146,0,GuytJa01
Charlie Kolar,BAL,TE,24,15,3,0,0,0,0,0,0,9,7,87,1,0,0,0,0,150,217,71,0,KolaCh00
David Moore,TAM,WR,28,7,0,0,0,0,0,0,0,7,5,94,1,0,0,0,0,150,204,145,0,MoorDa03
Ronnie Rivers,LAR,RB,24,9,1,0,0,0,32,129,0,5,5,22,0,0,0,0,0,150,201,93,0,RiveRo01
Jeremy Ruckert,NYJ,TE,23,15,6,0,0,0,0,0,0,22,16,151,0,0,0,0,0,150,311,69,0,RuckJe00
Trent Sherfield,BUF,WR,27,17,1,0,0,0,0,0,0,22,11,86,1,0,0,0,0,150,256,147,0,SherTr00
Josh Whyle,TEN,TE,24,11,3,0,0,0,0,0,0,15,9,94,1,0,0,0,0,150,244,67,0,WhylJo01
Brock Wright,DET,TE,25,14,4,0,0,0,0,0,0,14,13,91,1,0,0,0,0,150,281,70,0,WrigBr01
Chase Claypool,2TM,WR,25,12,2,0,0,0,0,0,0,21,8,77,1,0,0,0,0,140,217,152,0,ClayCh01
Jeff Driskel,CLE,QB,30,1,1,166,2,2,7,33,0,0,0,0,0,0,0,0,0,140,139,60,0,DrisJe00
Xavier Hutchinson,HOU,WR,23,16,0,0,0,0,5,49,0,19,8,90,0,0,0,0,0,140,219,150,0,HutcXa00
Charlie Jones,CIN,WR,25,11,0,0,0,0,2,13,0,9,7,64,0,0,0,0,0,140,207,153,0,JoneCh11
Terrace Marshall Jr.,CAR,WR,23,9,4,0,0,0,0,0,0,33,19,139,0,1,0,0,0,140,329,151,0,MarsTe00
Byron Pringle,WAS,WR,30,17,1,0,0,0,0,0,0,22,14,161,0,1,1,0,0,140,281,149,0,PrinBy00
Ben Skowronek,LAR,WR,26,17,0,0,0,0,2,9,0,12,8,66,1,0,0,0,0,140,215,154,0,SkowBe00
Tyquan Thornton,NWE,WR,23,9,3,0,0,0,3,51,0,23,13,91,0,0,0,0,0,140,272,148,0,ThorTy00
Jordan Akins,CLE,TE,31,17,4,0,0,0,0,0,0,23,15,132,0,0,0,0,0,130,282,72,0,AkinJo00
Isaiah Spiller,LAC,RB,22,9,0,0,0,0,37,96,0,6,6,34,0,0,0,0,0,130,190,94,0,SpilIs00
Stephen Sullivan,CAR,TE,27,11,0,0,0,0,0,0,0,24,12,125,0,0,0,0,0,130,245,73,0,SullSt00
Lynn Bowden Jr.,NOR,WR,26,15,3,0,0,0,5,32,0,16,11,83,0,1,0,0,0,120,225,158,0,BowdLy00
Jason Brownlee,NYJ,WR,24,7,5,0,0,0,0,0,0,8,5,56,1,0,0,0,0,120,166,156,0,BrowJa07
Randall Cobb,NYJ,WR,33,11,1,0,0,0,0,0,0,17,5,39,1,0,0,1,0,120,169,155,0,CobbRa00
Tyler Goodson,IND,RB,23,6,1,0,0,0,13,87,0,9,6,34,0,0,0,0,0,120,181,95,0,GoodTy00
Alec Ingold,MIA,FB,27,17,13,0,0,0,2,0,0,16,13,119,0,0,0,0,0,120,249,96,0,IngoAl01
Marcus Mariota,PHI,QB,30,3,0,164,1,1,8,52,0,0,0,0,0,1,1,0,0,120,118,62,0,MariMa01
D.J. Montgomery,IND,WR,27,7,0,0,0,0,0,0,0,8,3,56,1,0,0,0,0,120,146,157,0,MontDJ01
Boston Scott,PHI,RB,28,15,0,0,0,0,20,86,0,6,4,52,0,1,1,0,0,120,158,97,0,ScotBo02
Laviska Shenault Jr.,CAR,WR,25,8,0,0,0,0,12,55,0,10,10,60,0,1,0,0,0,120,215,159,0,ShenLa00
Cole Turner,WAS,TE,23,12,1,0,0,0,0,0,0,15,11,120,0,0,0,0,0,120,230,74,0,TurnCo00
C.J. Uzomah,NYJ,TE,30,12,8,0,0,0,0,0,0,12,8,58,1,0,0,0,0,120,198,75,0,UzomC.00
Jameis Winston,NOR,QB,29,7,0,264,2,3,5,-6,0,0,0,0,0,0,0,0,0,120,120,61,0,WinsJa00
Raheem Blackshear,CAR,RB,24,12,0,0,0,0,14,46,0,7,6,45,0,0,0,1,0,110,171,99,0,BlacRa00
Brandon Bolden,LVR,RB,33,17,0,0,0,0,4,31,1,0,0,0,0,0,0,1,0,110,111,100,0,BoldBr00
Tim Boyle,NYJ,QB,29,3,2,360,1,4,4,5,0,0,0,0,0,2,0,0,0,110,109,63,0,BoylTi00
Chris Brooks,MIA,RB,23,9,0,0,0,0,19,106,0,0,0,0,0,0,0,0,0,110,106,103,0,BrooCh00
Mecole Hardman,2TM,WR,25,11,2,0,0,0,1,3,0,24,15,124,0,1,1,0,0,110,257,160,0,HardMe00
La'Mical Perine,KAN,RB,25,3,1,0,0,0,22,77,0,5,3,33,0,0,0,0,0,110,140,101,0,PeriLa00
Patrick Ricard,BAL,FB,29,17,9,0,0,0,0,0,0,7,5,52,1,0,0,0,0,110,162,98,0,RicaPa00
Robert Tonyan,CHI,TE,29,17,6,0,0,0,0,0,0,17,11,112,0,0,0,0,0,110,222,76,0,TonyRo00
Emanuel Wilson,GNB,RB,24,7,0,0,0,0,14,85,0,5,4,23,0,1,0,0,0,110,148,102,0,WilsEm00
Lawrence Cager,NYG,TE,26,11,0,0,0,0,0,0,0,5,4,36,1,0,0,0,0,100,136,77,0,CageLa01
Parris Campbell,NYG,WR,26,12,3,0,0,0,0,0,0,27,20,104,0,0,0,0,0,100,304,161,0,CampPa00
J.K. Dobbins,BAL,RB,25,1,1,0,0,0,8,22,1,3,2,15,0,0,0,0,0,100,117,105,0,DobbJK00
Marquise Goodwin,CLE,WR,33,12,0,0,0,0,4,33,0,13,4,67,0,0,0,0,0,100,140,163,0,GoodMa00
Keaontay Ingram,ARI,RB,24,8,1,0,0,0,35,74,0,4,4,26,0,0,0,0,0,100,140,104,0,IngrKe01
Case Keenum,HOU,QB,35,2,2,291,1,3,2,1,0,0,0,0,0,1,0,0,0,100,97,64,0,KeenCa00
Keith Kirkwood,NOR,WR,29,13,4,0,0,0,0,0,0,9,5,37,1,0,0,0,0,100,147,164,0,KirkKe00
Hunter Luepke,DAL,RB,23,17,0,0,0,0,6,19,1,4,3,18,0,0,0,0,0,100,127,106,0,LuepHu00
